Sex,Length,Weight
M,128,18.41
F,137,24.55
F,112,10.91
F,141,27.5
F,126,18.18
F,149,32.05
M,98,9.09
M,86,5.5
F,110,10.91
M,101,9.09
M,100,9.32
F,118,12.5
F,137,23.86
M,119,17.27
M,114,14.09
F,137,20.68
F,143,24.32
F,97,8.41
F,140,25.68
F,98,9.09
F,150,31.14
F,106,10.45
F,126,15.45
F,137,28.27
F,139,24.09
F,136,25
F,130,20.45
F,112,13.64
F,137,22.27
F,152,26.14
F,135,22.95
F,151,33.64
F,136,22.05
F,141,29.14
F,126,18.18
F,108,9.55
F,149,27.5
F,118,12.95
F,91,5.68
F,118,16.14
F,156,30.91
F,134,21.82
F,127,16.36
F,145,24.55
F,122,16.82
F,145,28.64
F,132,23.64
F,145,25.68
F,136,24.09
M,98,6.82
F,98,7.05
F,62,1.49
F,131,19
M,119,14.32
M,117,13.41
F,138,26.59
M,115,15
F,135,22.73
F,143,27.73
F,125,19.32
F,150,31.93
F,130,18.64
F,146,30.23
F,150,27.95
F,157,31.82
F,139,22.73
F,152,29.77
F,58,1.37
F,93,6.82
F,119,13.52
F,141,23.18
F,115,11.36
F,140,27.27
F,127,17.05
F,145,24.09
F,123,18.64
F,102,7.77
M,58,1.36
F,135,20.91
M,112,11.36
F,147,22.27
M,102,10
F,125,17.73
F,147,29.55
F,132,17.73
F,125,15.14
F,135,17.05
F,121,15.91
F,146,25.55
M,124,14.77
F,101,9.09
F,141,22.95
F,136,21.36
F,118,13.18
M,79,3.55
F,142,24.89
F,125,18.07
F,97,9.09
F,143,28.27
F,151,28.64
F,53,1.02
F,140,26.59
F,136,21.82
F,58,1.02
F,98,10.45
F,108,10.45
F,131,21.82
F,159,35.91
F,138,22.5
F,109,9.09
F,127,20
F,115,7.27
M,118,15.23
F,106,9.09
F,145,26.36
F,120,13.3
F,126,17.27
F,109,9.55
F,133,20.45
M,114,16.32
F,135,25
F,108,10.7
M,125,17.5
M,75,3.23
M,111,12.27
F,147,24.43
F,149,30.23
F,137,23.41
F,147,30
F,119,13.64
M,98,6.36
F,137,22.05
F,118,14.09
F,134,18.41
F,158,34.09
M,115,11.82
F,136,25
M,99,7.05
F,136,24.32
F,117,15.91
F,110,10
M,82,4.16
F,132,19.55
F,149,28.64
M,110,10.45
F,105,10.91
M,116,9.55
M,112,9.55
F,121,20.45
F,126,20.23
F,127,17.05
F,117,14.09
M,121,18.86
M,107,7.73
F,105,8.5
F,153,34.09
F,131,20.14
M,55,0.99
F,122,14.09
F,117,18.64
M,110,10.91
F,136,23.86
F,145,24.43
F,116,15.45
F,150,30.8
M,118,13.64
F,130,22.5
F,120,16.36
F,134,22.73
M,108,8.41
F,102,7.73
F,114,12.5
M,102,11.36
F,115,12.5
F,135,18.86
M,102,8.18
F,104,7.84
F,126,18.73
M,116,13.64
F,141,24.55
M,112,12.84
M,117,12.64
F,128,19.23
F,132,20.45
F,132,19.55
M,103,9.09
F,112,11.14
F,157,34.09
F,138,21.82
F,129,16.36
F,131,20.68
F,150,27.73
M,109,11.59
F,58,1.38
F,133,23.18
M,109,13.18
F,127,16.59
F,133,24.4
F,146,25
F,126,15.91
F,147,31.36
F,130,18.86
M,74,2.77
F,109,9.66
M,112,10.23
F,84,4.2
F,128,21.36
F,153,26.36
F,135,25.91
M,117,13.73
F,106,10
F,133,21.82
F,129,17.5
F,152,27.27
M,119,14.77
F,138,20.45
M,117,13.64
F,124,15
F,100,7.73
F,145,21.14
F,108,9.77
F,136,22.27
F,116,14.77
F,142,25.68
F,152,27.27
F,151,25
F,123,17.05
F,142,23.18
F,104,8.86
F,140,22.95
M,108,10.5
F,129,23.75
F,141,28.41
F,140,20.91
F,155,32.05
F,148,29.32
F,137,25.91
M,116,14.77
F,118,15
M,124,16.14
F,132,21.82
F,144,28.18
M,116,13.18
