Sex,Length,Weight,Age
F,53,1.02,1
M,55,0.99,1
F,58,1.02,1
M,58,1.36,1
F,58,1.37,1
F,58,1.38,1
F,62,1.49,1
M,74,2.77,2
M,75,3.23,2
M,79,3.55,2
M,82,4.16,2
F,84,4.2,2
F,91,5.68,2
F,98,7.05,2
F,105,10.91,2
F,108,9.77,2
F,109,9.55,2
F,93,6.82,3
F,97,9.09,3
M,98,6.82,3
F,98,9.09,3
F,98,10.45,3
F,100,7.73,3
M,100,9.32,3
F,101,9.09,3
F,102,7.77,3
F,104,8.86,3
F,105,8.5,3
F,106,9.09,3
F,106,10,3
F,106,10.45,3
F,108,9.55,3
F,108,10.45,3
F,108,10.7,3
F,109,9.09,3
F,109,9.66,3
F,115,7.27,3
F,115,11.36,3
F,115,12.5,3
F,116,15.45,3
F,117,15.91,3
F,122,16.82,3
F,126,15.91,3
F,157,31.82,3
M,86,5.5,4
F,97,8.41,4
F,102,7.73,4
M,102,8.18,4
M,102,10,4
M,102,11.36,4
F,104,7.84,4
F,110,10.91,4
F,112,10.91,4
F,114,12.5,4
F,116,14.77,4
F,117,18.64,4
F,118,12.5,4
F,118,15,4
F,119,13.64,4
F,120,13.3,4
F,120,16.36,4
F,121,15.91,4
F,122,14.09,4
F,124,15,4
F,125,17.73,4
F,125,19.32,4
F,126,15.45,4
F,126,17.27,4
F,126,18.18,4
F,127,16.36,4
F,127,17.05,4
F,132,17.73,4
F,132,19.55,4
F,134,22.73,4
M,98,6.36,5
M,99,7.05,5
M,101,9.09,5
M,107,7.73,5
M,110,10.91,5
M,111,12.27,5
F,112,11.14,5
F,117,14.09,5
F,118,13.18,5
F,118,14.09,5
F,118,16.14,5
M,119,17.27,5
F,121,20.45,5
F,123,18.64,5
F,125,15.14,5
F,125,18.07,5
F,129,17.5,5
F,131,20.68,5
F,132,19.55,5
F,135,17.05,5
F,135,22.73,5
F,135,25.91,5
F,136,21.36,5
F,136,23.86,5
F,139,24.09,5
F,140,20.91,5
F,145,21.14,5
M,103,9.09,6
M,108,10.5,6
M,109,11.59,6
M,115,15,6
F,118,12.95,6
M,118,15.23,6
F,119,13.52,6
F,123,17.05,6
M,124,16.14,6
F,126,18.18,6
F,126,18.73,6
F,126,20.23,6
F,127,16.59,6
F,127,17.05,6
F,127,20,6
F,129,16.36,6
F,130,18.64,6
F,130,18.86,6
F,130,20.45,6
F,130,22.5,6
F,131,19,6
F,131,20.14,6
F,132,23.64,6
F,133,21.82,6
F,134,18.41,6
F,135,18.86,6
F,135,20.91,6
F,135,25,6
F,136,22.27,6
F,137,22.05,6
F,137,23.86,6
F,140,22.95,6
F,140,25.68,6
F,141,27.5,6
F,144,28.18,6
F,145,24.09,6
F,145,28.64,6
F,147,29.55,6
F,151,28.64,6
F,155,32.05,6
M,108,8.41,7
F,110,10,7
F,112,13.64,7
M,115,11.82,7
M,116,13.64,7
M,119,14.32,7
M,125,17.5,7
F,128,19.23,7
F,128,21.36,7
F,129,23.75,7
F,132,21.82,7
F,133,24.4,7
F,136,21.82,7
F,136,22.05,7
F,136,24.09,7
F,137,23.41,7
F,137,28.27,7
F,138,21.82,7
F,138,26.59,7
F,141,22.95,7
F,141,23.18,7
F,141,24.55,7
F,141,28.41,7
F,142,24.89,7
F,142,25.68,7
F,143,24.32,7
F,143,28.27,7
F,145,26.36,7
F,146,30.23,7
F,149,27.5,7
F,150,27.95,7
F,150,30.8,7
F,150,31.14,7
F,150,31.93,7
F,157,34.09,7
F,159,35.91,7
M,112,10.23,8
M,112,11.36,8
M,112,12.84,8
M,116,13.18,8
M,117,12.64,8
M,117,13.64,8
M,117,13.73,8
F,133,20.45,8
F,135,22.95,8
F,136,25,8
F,136,25,8
F,137,20.68,8
F,137,25.91,8
F,139,22.73,8
F,140,27.27,8
F,142,23.18,8
F,143,27.73,8
F,146,25,8
F,147,22.27,8
F,149,30.23,8
F,149,32.05,8
F,151,33.64,8
F,152,27.27,8
F,158,24.09,8
M,98,9.09,9
M,109,13.18,9
M,110,10.45,9
M,112,9.55,9
M,114,16.32,9
M,116,14.77,9
M,117,13.41,9
M,128,18.41,9
F,131,21.82,9
F,133,23.18,9
F,134,21.82,9
F,136,24.32,9
F,140,26.59,9
F,145,24.43,9
F,145,25.68,9
F,146,25.55,9
F,147,24.43,9
F,147,31.36,9
F,148,29.32,9
F,150,27.73,9
F,152,26.14,9
F,152,27.27,9
F,153,26.36,9
F,153,34.09,9
F,132,20.45,10
F,137,22.27,10
F,138,20.45,10
F,138,22.5,10
F,141,29.14,10
F,147,30,10
F,151,25,10
F,152,29.77,10
M,114,14.09,11
M,116,9.55,11
M,118,13.64,11
M,119,14.77,11
M,121,18.86,11
M,124,14.77,11
F,145,24.55,11
F,149,28.64,11
F,156,30.91,11
F,137,24.55,12
