Year,Spawners,Recruits
1908,1124,628.2166999
1909,1300,525.0303495
1910,1506,312.7566875
1911,1054,543.5978369
1912,765,795.8029942
1913,444,769.2185592
1914,979,470.7000613
1915,771,652.4260875
1916,393,401.3846105
1917,623,679.7433424
1918,970,945.2431643
1919,868,888.5033835
1920,546,672.3380049
1921,244,682.6716007
1922,635,917.9604676
1923,1043,672.3458888
1924,1098,476.4557022
1925,624,692.4371956
1926,554,955.6897719
1927,549,835.5617788
1928,224,401.5632879
1929,565,377.0402586
1930,742,597.3491304
1931,510,377.0224206
1932,310,399.6643939
1933,173,357.9185393
1934,320,483.3140529
1935,310,449.6803235
1936,556,702.6453481
1937,340,567.6038608
1938,297,327.2493083
1939,598,714.668803
1940,963,911.1755715
1941,572,769.1062051
1942,305,382.7725665
1943,272,352.7501607
1944,824,800.6380619
1945,940,406.1677038
1946,486,638.0761986
1947,307,477.9428381
1948,1066,895.3783024
1949,480,557.5961354
1950,382,503.9283709
1951,163,491.8651829
1952,158,279.7543022
