Year,Spawners,Recruits
1960,1418,2446
1961,2835,14934
1962,1957,10031
1963,4033,8050
1964,2750,7884
1965,2891,4430
1966,3098,13086
1967,2001,6051
1968,3215,7801
1969,2443,5846
1970,2561,6101
1971,2834,4175
1972,2859,2541
1973,2295,2194
1974,1880,1512
1975,1579,6704
1976,1373,5742
1977,4183,8809
1978,2984,4062
1979,5059,9277
1980,2669,15452
1981,3949,10343
1982,4129,8950
1983,4290,30011
1984,3976,3999
1985,8799,9917
1986,2856,4906
1987,4289,18215
1988,2892,9461
1989,4577,23359
