TL,FL
119,115
122,119
126,122
129,124
128,124
130,125
130,126
130,127
131,127
132,128
132,128
133,129
133,129
133,129
134,130
134,130
134,130
134,130
135,131
135,131
135,131
135,132
136,132
136,132
136,132
136,132
135,132
136,132
136,132
136,132
137,133
136,133
138,134
138,134
138,134
137,134
138,134
138,134
138,134
138,134
138,134
139,135
139,135
139,135
139,135
139,135
139,135
139,135
140,136
140,136
140,136
139,136
140,136
141,136
140,136
140,136
140,137
141,137
141,137
140,137
141,137
141,137
142,137
142,137
141,137
141,137
141,137
141,137
141,138
141,138
141,138
142,138
142,138
142,138
142,138
142,138
141,138
142,138
142,138
142,139
143,139
143,139
143,139
143,139
144,139
144,139
144,139
143,139
144,139
144,139
144,140
144,140
144,140
144,140
144,140
144,140
143,140
144,140
143,140
144,140
144,140
144,140
144,140
145,141
145,141
145,141
146,141
145,141
145,141
146,141
146,141
146,141
146,142
147,142
146,142
146,142
145,142
146,142
146,142
147,142
146,142
147,142
146,142
146,142
146,142
148,143
146,143
147,143
148,143
147,143
146,143
147,143
147,143
147,143
147,143
147,143
145,143
148,143
148,144
148,144
148,144
148,144
149,144
148,144
148,144
147,144
148,144
148,144
148,144
148,144
148,144
148,144
149,145
149,145
150,145
149,145
149,145
150,145
149,145
148,145
149,145
149,145
150,146
150,146
149,146
149,146
150,146
150,146
149,146
150,146
151,147
151,147
152,147
151,147
151,147
151,147
151,147
151,147
151,147
151,147
150,147
152,147
152,147
152,148
152,148
153,148
152,148
151,148
152,148
152,148
152,148
152,148
151,148
152,148
152,148
151,148
154,149
152,149
153,149
154,149
154,149
152,149
153,149
154,149
152,149
153,149
153,149
153,149
153,149
153,149
153,149
154,149
153,149
154,150
154,150
154,150
155,150
154,150
154,150
154,150
155,150
154,150
154,150
154,150
154,150
154,150
154,150
155,150
154,150
154,150
154,150
155,150
153,150
153,150
154,150
155,150
154,150
155,151
155,151
155,151
155,151
155,151
155,151
155,151
156,151
156,151
155,151
155,151
156,151
154,151
155,151
155,151
155,151
154,151
154,151
154,151
156,151
154,151
155,151
156,151
155,151
156,151
155,151
155,152
156,152
156,152
156,152
156,152
156,152
155,152
157,152
156,152
156,152
156,152
157,152
156,152
156,152
155,152
156,152
156,152
155,152
157,152
156,152
157,153
157,153
158,153
157,153
157,153
157,153
157,153
158,153
157,153
158,154
158,154
157,154
158,154
159,154
158,154
157,154
158,154
158,154
158,154
158,154
158,154
158,154
158,154
159,154
158,154
158,154
158,154
158,154
159,154
157,154
159,154
158,154
158,154
159,154
160,155
160,155
159,155
159,155
159,155
159,155
159,155
158,155
159,155
159,155
160,155
159,155
159,155
160,155
159,155
159,156
160,156
161,156
160,156
160,156
159,156
161,157
161,157
161,157
161,157
161,157
160,157
161,157
162,157
160,157
161,157
161,157
161,157
162,157
161,157
161,157
161,157
163,158
162,158
162,158
162,158
161,158
161,158
162,158
162,158
162,158
163,159
164,159
162,159
163,159
164,159
163,159
163,159
163,159
163,159
163,159
162,159
163,159
164,159
163,159
164,159
163,159
162,159
162,159
164,160
164,160
164,160
164,160
164,160
164,160
164,160
165,160
165,161
166,161
166,161
166,161
165,161
166,161
165,161
166,161
165,161
166,161
165,161
166,162
166,162
166,162
166,162
167,162
166,162
166,162
167,162
167,162
166,162
168,163
167,163
167,163
168,163
167,163
167,163
167,163
166,163
167,163
168,163
166,163
168,164
168,164
169,164
169,164
169,164
169,164
169,164
169,164
167,164
169,164
169,164
168,165
169,165
169,165
169,165
169,165
169,165
168,165
169,165
170,166
170,166
170,166
170,166
170,166
171,166
169,166
171,166
171,167
171,167
171,167
171,167
170,167
171,167
172,167
173,167
171,167
173,168
172,168
173,168
172,168
172,168
172,168
172,168
172,168
172,168
172,168
172,168
172,168
173,169
174,169
173,169
173,169
173,169
173,169
173,169
174,170
174,170
174,170
175,170
175,170
174,170
175,171
176,171
176,171
176,171
176,172
177,172
175,172
175,172
176,173
177,173
178,173
178,174
179,174
180,174
178,174
178,174
177,174
179,175
179,175
179,176
180,176
181,176
181,176
180,176
180,176
181,177
181,177
182,177
182,178
182,178
183,178
183,179
185,180
184,180
185,180
185,180
189,183
190,186
196,191
197,192
197,193
199,194
202,197
205,200
