STATION,Date,Year,Month,Cruise,TowDist,Stratum,Region,Depth,Count,NetWidth,StratNum
CM20020301076,29-Mar-02,2002,3,1,1885.3,501,5,1,0,24.02,12
CM20020301083,29-Mar-02,2002,3,1,1839.5,502,5,2,0,25.36,13
CM20020301085,29-Mar-02,2002,3,1,2168,502,5,2,94,28.68,13
CM20030301067,24-Mar-03,2003,3,1,1805.2,501,5,1,0,22.23,12
CM20030301068,24-Mar-03,2003,3,1,1909.1,501,5,1,0,24.07,12
CM20030301070,24-Mar-03,2003,3,1,1886.7,501,5,1,0,23.67,12
CM20030301074,24-Mar-03,2003,3,1,1976.8,501,5,1,7,24.13,12
CM20030301077,24-Mar-03,2003,3,1,1836.4,501,5,1,37,24.3,12
CM20030301078,24-Mar-03,2003,3,1,1940.3,501,5,1,0,22.65,12
CM20030301080,24-Mar-03,2003,3,1,2061.1,502,5,2,0,26.03,13
CM20030301081,24-Mar-03,2003,3,1,2103.2,502,5,2,0,26.16,13
CM20030301082,24-Mar-03,2003,3,1,2087.1,502,5,2,4,26.83,13
CM20030301083,24-Mar-03,2003,3,1,2072.4,502,5,2,151,26.68,13
CM20030301085,24-Mar-03,2003,3,1,1912.5,502,5,2,1,28.53,13
CM20030301072,25-Mar-03,2003,3,1,2051,501,5,1,4,21.2,12
CM20030301073,25-Mar-03,2003,3,1,1855.6,501,5,1,4,23.88,12
CM20030301075,25-Mar-03,2003,3,1,2150,501,5,1,4,27.94,12
CM20030301076,25-Mar-03,2003,3,1,1930.1,501,5,1,1,23.65,12
CM20030301084,25-Mar-03,2003,3,1,2086.2,502,5,2,8,27.89,13
CM20030301044,27-Mar-03,2003,3,1,2104.7,401,4,1,0,29.51,9
CM20030301052,27-Mar-03,2003,3,1,2102.3,401,4,1,1,22.61,9
CM20030301053,27-Mar-03,2003,3,1,2385.8,402,4,2,0,21.61,10
CM20030301057,27-Mar-03,2003,3,1,1811.8,402,4,2,0,22.5,10
CM20030301061,27-Mar-03,2003,3,1,1964.2,402,4,2,0,24.61,10
CM20030301063,27-Mar-03,2003,3,1,1920.4,402,4,2,0,24.66,10
CM20030301064,27-Mar-03,2003,3,1,1636.4,403,4,3,0,21.11,11
CM20030301045,28-Mar-03,2003,3,1,2039.8,401,4,1,69,25.82,9
CM20030301056,28-Mar-03,2003,3,1,2058.3,402,4,2,1,22.22,10
CM20030301059,28-Mar-03,2003,3,1,2106.5,402,4,2,2,23.62,10
CM20030301069,28-Mar-03,2003,3,1,2570.1,501,5,1,0,24.95,12
CM20030301071,28-Mar-03,2003,3,1,1816,501,5,1,0,23.56,12
CM20030301079,28-Mar-03,2003,3,1,2088.5,502,5,2,0,24.66,13
CM20030301086,28-Mar-03,2003,3,1,1991.3,502,5,2,0,26.38,13
CM20030301087,28-Mar-03,2003,3,1,2081,502,5,2,8,24.32,13
CM20030301088,28-Mar-03,2003,3,1,2079.1,503,5,3,9,23.97,14
CM20030301089,28-Mar-03,2003,3,1,1954.1,503,5,3,950,22.29,14
CM20030301090,28-Mar-03,2003,3,1,2152.9,503,5,3,27,23.92,14
CM20040301028,20-Mar-04,2004,3,1,2022.2,301,3,1,0,23.7,6
CM20040301033,20-Mar-04,2004,3,1,2089.9,302,3,2,0,23.55,7
CM20040301049,20-Mar-04,2004,3,1,1797.5,401,4,1,0,22.01,9
CM20040301062,20-Mar-04,2004,3,1,2044.8,402,4,2,1,21.75,10
CM20040301066,20-Mar-04,2004,3,1,1274.6,501,5,1,0,25.35,12
CM20040301067,20-Mar-04,2004,3,1,2057,501,5,1,0,30.37,12
CM20040301074,20-Mar-04,2004,3,1,2180.2,501,5,1,0,24.28,12
CM20040301087,20-Mar-04,2004,3,1,2211.1,502,5,2,2,28,13
CM20040301010,23-Mar-04,2004,3,1,2119.7,201,2,1,0,28.26,3
CM20040301011,23-Mar-04,2004,3,1,1516.2,201,2,1,0,28.02,3
CM20040301012,23-Mar-04,2004,3,1,2020.6,201,2,1,0,26.43,3
CM20040301013,23-Mar-04,2004,3,1,2094.8,201,2,1,0,30.72,3
CM20040301014,23-Mar-04,2004,3,1,2142.9,201,2,1,0,29.73,3
CM20040301016,23-Mar-04,2004,3,1,2137.6,202,2,2,0,27.25,4
CM20040301017,23-Mar-04,2004,3,1,2132,202,2,2,0,27.59,4
CM20040301018,23-Mar-04,2004,3,1,1816.5,202,2,2,0,30.89,4
CM20040301019,23-Mar-04,2004,3,1,2082.2,202,2,2,0,27.94,4
CM20040301020,23-Mar-04,2004,3,1,2017.8,202,2,2,0,28.32,4
CM20040301021,23-Mar-04,2004,3,1,2104.9,203,2,3,0,28.28,5
CM20040301022,23-Mar-04,2004,3,1,1995,203,2,3,0,28.94,5
CM20040301023,23-Mar-04,2004,3,1,2020.7,203,2,3,0,27.65,5
CM20040301030,23-Mar-04,2004,3,1,2039.7,301,3,1,0,28.69,6
CM20040301031,23-Mar-04,2004,3,1,2130.8,302,3,2,0,29.84,7
CM20040301001,24-Mar-04,2004,3,1,1762.8,101,1,1,0,26.43,1
CM20040301002,24-Mar-04,2004,3,1,1138.6,101,1,1,0,26.43,1
CM20040301003,24-Mar-04,2004,3,1,2150.1,101,1,1,0,26.43,1
CM20040301004,24-Mar-04,2004,3,1,2121.6,101,1,1,0,26.43,1
CM20040301005,24-Mar-04,2004,3,1,2050.7,101,1,1,0,26.43,1
CM20040301006,24-Mar-04,2004,3,1,977.9,102,1,2,0,26.43,2
CM20040301007,24-Mar-04,2004,3,1,2164.1,102,1,2,0,26.43,2
CM20040301008,24-Mar-04,2004,3,1,2174.5,102,1,2,0,26.43,2
CM20040301015,24-Mar-04,2004,3,1,944.3,202,2,2,0,26.43,4
CM20040301009,24-Mar-04,2004,3,1,947.3,203,2,3,0,26.43,5
CM20040301024,25-Mar-04,2004,3,1,1779.4,301,3,1,0,27.31,6
CM20040301029,25-Mar-04,2004,3,1,1894.6,301,3,1,0,29,6
CM20040301035,25-Mar-04,2004,3,1,1964.4,302,3,2,0,24.99,7
CM20040301036,25-Mar-04,2004,3,1,2003.5,302,3,2,0,28.29,7
CM20040301037,25-Mar-04,2004,3,1,2128.3,302,3,2,0,28.39,7
CM20040301039,25-Mar-04,2004,3,1,2004.9,303,3,3,0,28.01,8
CM20040301040,25-Mar-04,2004,3,1,2102.7,303,3,3,0,28.21,8
CM20040301025,26-Mar-04,2004,3,1,1822.9,301,3,1,0,27.76,6
CM20040301026,26-Mar-04,2004,3,1,2018.7,301,3,1,0,26.66,6
CM20040301027,26-Mar-04,2004,3,1,1915.9,301,3,1,0,26.16,6
CM20040301032,26-Mar-04,2004,3,1,2044.4,302,3,2,0,26.1,7
CM20040301034,26-Mar-04,2004,3,1,1909.6,302,3,2,0,24.83,7
CM20040301038,26-Mar-04,2004,3,1,2020,303,3,3,0,26.57,8
CM20040301048,26-Mar-04,2004,3,1,1872.2,401,4,1,0,22.26,9
CM20040301052,26-Mar-04,2004,3,1,1708.1,402,4,2,0,26.09,10
CM20040301054,26-Mar-04,2004,3,1,1830.2,402,4,2,0,27.86,10
CM20040301057,26-Mar-04,2004,3,1,1836.4,402,4,2,0,23.33,10
CM20040301058,26-Mar-04,2004,3,1,1779.5,402,4,2,0,20.96,10
CM20040301061,26-Mar-04,2004,3,1,2014.2,402,4,2,0,26.24,10
CM20040301064,26-Mar-04,2004,3,1,2148.8,403,4,3,0,24.22,11
CM20040301065,26-Mar-04,2004,3,1,1816.2,403,4,3,1,22.63,11
CM20040301041,27-Mar-04,2004,3,1,2020.3,401,4,1,0,22.72,9
CM20040301042,27-Mar-04,2004,3,1,1959.3,401,4,1,0,23.81,9
CM20040301043,27-Mar-04,2004,3,1,1982.7,401,4,1,0,24.21,9
CM20040301046,27-Mar-04,2004,3,1,2042.8,401,4,1,0,27.79,9
CM20040301047,27-Mar-04,2004,3,1,2122.8,401,4,1,0,30,9
CM20040301050,27-Mar-04,2004,3,1,875.7,402,4,2,0,22.49,10
CM20040301051,27-Mar-04,2004,3,1,1908.8,402,4,2,0,24.33,10
CM20040301053,27-Mar-04,2004,3,1,987.8,402,4,2,0,22.82,10
CM20040301055,27-Mar-04,2004,3,1,988.1,402,4,2,0,21.62,10
CM20040301056,27-Mar-04,2004,3,1,1977.3,402,4,2,7,23.65,10
CM20040301060,27-Mar-04,2004,3,1,871,402,4,2,0,23.95,10
CM20040301063,27-Mar-04,2004,3,1,1000.7,403,4,3,1,22.41,11
CM20040301044,30-Mar-04,2004,3,1,2044.8,401,4,1,0,27.44,9
CM20040301045,30-Mar-04,2004,3,1,2086.2,401,4,1,0,26.23,9
CM20040301059,30-Mar-04,2004,3,1,1901.1,402,4,2,2,24.89,10
CM20040301077,30-Mar-04,2004,3,1,2178.3,501,5,1,14,26.43,12
CM20040301084,30-Mar-04,2004,3,1,1686.8,502,5,2,5,26.22,13
CM20040301085,30-Mar-04,2004,3,1,2062.4,502,5,2,28,28.87,13
CM20040301086,30-Mar-04,2004,3,1,2099.7,502,5,2,24,30.13,13
CM20040301088,30-Mar-04,2004,3,1,1877.7,503,5,3,1,24.35,14
CM20040301089,30-Mar-04,2004,3,1,1858.4,503,5,3,0,25.18,14
CM20040301090,30-Mar-04,2004,3,1,1650.3,503,5,3,0,25.17,14
CM20040301068,31-Mar-04,2004,3,1,1826.6,501,5,1,0,26.24,12
CM20040301069,31-Mar-04,2004,3,1,1130.7,501,5,1,0,27.45,12
CM20040301070,31-Mar-04,2004,3,1,2199.2,501,5,1,0,28.26,12
CM20040301071,31-Mar-04,2004,3,1,2181.6,501,5,1,0,27.72,12
CM20040301072,31-Mar-04,2004,3,1,2228.8,501,5,1,97,28.05,12
CM20040301073,31-Mar-04,2004,3,1,1875.1,501,5,1,32,27.17,12
CM20040301075,31-Mar-04,2004,3,1,2074.8,501,5,1,0,30.74,12
CM20040301076,31-Mar-04,2004,3,1,2036.2,501,5,1,2,27.48,12
CM20040301078,31-Mar-04,2004,3,1,1978.9,502,5,2,0,26.9,13
CM20040301079,31-Mar-04,2004,3,1,1094.9,502,5,2,0,26.12,13
CM20040301080,31-Mar-04,2004,3,1,2293.9,502,5,2,0,29.28,13
CM20040301081,31-Mar-04,2004,3,1,1947.6,502,5,2,0,27.12,13
CM20040301082,31-Mar-04,2004,3,1,1487.1,502,5,2,0,26.79,13
CM20040301083,31-Mar-04,2004,3,1,1845.6,502,5,2,0,26.71,13
CM20050301067,16-Mar-05,2005,3,1,2011.7,501,5,1,0,28.65,12
CM20050301068,16-Mar-05,2005,3,1,1575.1,501,5,1,0,20.71,12
CM20050301069,16-Mar-05,2005,3,1,2038.3,501,5,1,0,31.44,12
CM20050301072,16-Mar-05,2005,3,1,1779.1,502,5,2,0,20.67,13
CM20050301073,16-Mar-05,2005,3,1,1465.1,502,5,2,0,20.38,13
CM20050301074,16-Mar-05,2005,3,1,1338.4,502,5,2,0,20.68,13
