number,year,veg,bot,depth,temp,sal
7,1998,None,Sand,0.5,23.6,16.6
1,1998,None,Sand,0.7,24.4,14.9
0,1998,Seagrass,Sand,0.5,20.9,14.3
191,1998,Seagrass,Sand,0.6,20.8,15.6
72,1998,None,Sand,1,22.9,16.5
0,1998,Seagrass,Sand,0.6,20.4,17.8
4,1998,None,Mud,0.9,21.8,21.2
5,1998,Seagrass,Mud,0.9,21.3,11.3
0,1998,None,Sand,0.8,20.7,11
0,1998,None,Sand,0.4,21.5,10.8
0,1998,Seagrass,Sand,1,21.9,10.6
0,1998,None,Sand,1,22.6,16.7
0,1998,Seagrass,Sand,0.9,22.9,17.4
24,1998,None,Sand,0.6,24.5,15.1
4,1998,None,Sand,0.4,21.9,19
40,1998,Seagrass,Sand,0.5,23.4,19.2
540,1998,Seagrass,Sand,0.6,24.3,27.3
0,1998,Seagrass,Sand,0.7,25.1,26.6
1,1998,Seagrass,Sand,0.7,23.7,27.5
0,1998,None,Sand,0.5,23.5,27.9
368,1998,Seagrass,Mud,0.5,24.5,25.4
451,1998,Seagrass,Sand,0.5,24.1,26.9
0,1998,None,Sand,0.6,23.9,27.8
61,1998,Seagrass,Sand,0.8,24.5,27
652,1998,Seagrass,Sand,0.5,24.2,25.8
0,1998,None,Sand,0.6,24.3,31.1
0,1998,None,Sand,1.1,26.1,17.1
0,1998,None,Sand,0.9,25.5,18
2,1998,Seagrass,Sand,0.6,25.4,13.2
0,1998,None,Sand,0.9,27,14.1
0,1998,Seagrass,Sand,1,26.6,14.1
0,1998,Seagrass,Sand,0.9,26.8,16.6
0,1998,Seagrass,Sand,0.9,26.8,15.8
28,1998,Seagrass,Sand,0.9,27.2,19.3
4,1998,Seagrass,Sand,0.7,27.2,20.3
0,1998,None,Sand,0.9,27.8,19.5
78,1998,Seagrass,Mud,0.8,26,20.9
0,1998,None,Sand,0.8,29.5,19.3
262,1998,Seagrass,Mud,0.5,28.3,26.9
0,1998,None,Sand,0.8,28.2,27.5
0,1998,None,Sand,0.5,31,26.4
690,1998,Seagrass,Sand,0.3,27.7,23.9
4,1998,Seagrass,Sand,0.5,27.7,27.4
674,1998,Seagrass,Mud,0.5,26.8,27.7
