ElastomerID,PITTagID,Date,SurNum,Primary,OldNew,Species,Sex,Stage,Stream,Reach,Meso,LatLoc,LongLoc,SubSize,SubType,MassMg,TailRemoved,TailRegrown,SVL,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,Notes
GBR1,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,2,400,R,14000,0,0,91,23.39,13.25,60.4,12.87,6.07,7.21,NA
GBR1-2,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,142,200,R,6100,0,0,68.44,17.54,11.18,44.31,10.38,4.18,3.56,NA
GBR1-3,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,RF,WE,143,200,R,2400,0,0,46.29,11.99,9.11,29.4,8.47,3.39,5.11,NA
GBR1-4,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,T,152,250,R,6400,0,0,65.78,15.14,11.12,41.62,9.75,4.95,3.75,NA
GBR1-5,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,RF,WE,159,400,R,1900,5,5,43.71,11.44,8.39,26.73,7.39,2.9,2.8,NA
GBR1-6,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,WE,176,200,R,9200,8,2,81.72,19.33,12.59,49.83,11.76,5.56,6.74,NA
GBR1-7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,178,400,R,6600,3,3,64.11,15.57,11.2,41.84,11.14,4.72,3.13,NA
GBR1-8,NA,2012-07-12,1,1,N,GP,NA,M,Bear,lower,PL,WE,209,600,R,6600,0,0,66.49,17.56,10.72,42.28,10.35,4,3.9,NA
GBR2,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,RF,T,11,300,R,3100,0,0,47.37,12.71,9.62,30.26,8.74,3.09,3.3,NA
GBR2-3,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,223,400,R,12000,20,5,86.54,24.21,13.61,55.17,12.69,6.27,5.7,NA
GBR2-4,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,224,450,R,1300,0,0,39.31,10.1,7,24.84,5.97,3.24,2.02,NA
GBR2-5,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,226,350,R,8200,5,3,76.24,19.04,12.55,48.71,11.03,6.03,5.52,NA
GBR2-6,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,WE,287,400,R,5700,40,5,63.27,15.39,9.94,40.02,9.47,3.92,3.69,NA
GBR2-7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,T,293,500,R,1800,0,0,45.53,12.16,8.21,29.3,7.15,3.38,3.52,NA
GBR2-8,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,T,293,500,R,900,0,0,30.19,8.11,5.68,17.62,5.05,1.95,2.61,NA
GBR3,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,RF,T,32,500,R,3300,0,0,51.75,14.14,10.36,33.18,9.12,3.62,3.61,NA
GBR3-4,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,307,250,R,1300,0,0,37.36,11.33,6.83,23.57,6.28,3.02,2.86,NA
GBR3-5,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,T,311,600,R,5100,0,0,59.65,15.75,11.06,37.51,9.81,3.86,3.59,NA
GBR3-6,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,WE,342,400,R,7300,0,0,74.61,18.25,10.7,44.63,11.16,4.34,5.22,NA
GBR3-7,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,WE,359,500,R,6700,15,8,77.23,19.21,10.53,49.24,11,4.33,4.29,NA
GBR3-8,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,381,250,R,16500,0,0,104.63,28.03,16.15,61.72,12.93,5.69,6.58,NA
GBR4,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,T,47,500,R,15100,20,0,82.67,22.81,14.9,51.33,15.01,6.76,6.97,NA
GBR4-5,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,T,381,300,R,2700,10,5,48.11,13.37,9.4,28.21,7.98,3.16,3.35,NA
GBR4-6,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,399,NA,NA,1000,0,0,31.61,9.23,6.43,19.61,5.47,2.07,2.06,Free swimming
GBR4-7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,RF,WE,400,200,R,3000,10,10,53.18,15.34,9.51,32.65,8.68,3.53,3.7,NA
GBR4-8,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,RF,WE,417,400,R,8100,0,0,78.17,22.04,12.1,47.42,10.9,5.4,5.72,NA
GBR5-6,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,419,100,R,1100,0,0,34.76,11.33,6.6,21.04,6.28,2.95,2.78,NA
GBR5-7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,430,150,R,2300,5,5,47.56,11.39,8.86,29.44,7.41,3.87,3.27,NA
GBR5-8,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,466,400,R,800,0,0,32.24,7.84,6.58,20.91,5.35,2.88,2.47,NA
GBR6,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,WE,107,500,R,6900,20,5,73.31,19.37,11.28,46.15,10.52,5.81,4.49,BITE SCAR BEHIND FRONT LEFT LEG ON DORSUM
GBR6-7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,500,500,R,7500,15,4,70.38,15.17,10.87,44.2,10.41,4.94,6.68,NA
GBR7,NA,2012-07-12,1,1,N,GP,NA,L,Bear,lower,PL,WE,111,250,R,2800,0,0,44.81,12.1,9.04,27.99,8.06,2.97,3.54,#7 MARK @ FRONT LEG AND CONTINUES UP
GBR8,NA,2012-07-12,1,1,N,GP,NA,A,Bear,lower,PL,WE,112,400,R,6600,0,0,73.13,17.61,11.47,45.79,11.09,4.96,4.76,BITE SCAR ON DORSUM ABOVE RIGHT HIND LEG
GBR1-2-3,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,87,450,R,1900,0,0,42.83,11.7,8.29,25.87,7.17,3.07,3.13,NA
GBR1-2-4,NA,2012-07-17,2,1,N,GP,NA,A,Bear,lower,PL,WE,103,200,R,11000,13,8,84.91,22.75,14.13,58.49,12.53,7.14,6.8,NA
GBR1-2-5,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,109,300,R,1400,5,5,38.22,11.79,7.41,23.53,6.29,3.39,2.26,NA
GBR1-2-6,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,140,450,R,4600,5,5,55.79,14.56,10.73,35.72,10.21,4.22,4.61,NA
GBR1-2-7,NA,2012-07-17,2,1,N,GP,NA,A,Bear,lower,RF,WE,142,350,R,10000,13,10,85.91,22.06,12.64,54.09,12.43,4.39,5.31,NA
GBR1-2-8,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,159,200,R,3300,0,0,51.68,11.73,9.63,34.13,8.87,3.12,3.49,NA
GBR1-3-4,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,PL,WE,172,250,R,4300,7,2,57.74,15.02,10.29,36.84,9.91,4.17,4.34,NA
GBR1-3-5,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,178,80,R,1300,10,5,39.75,10.17,7.39,24.67,6,2.91,3.31,NA
GBR1-3-6,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,180,500,R,6400,0,0,65.02,13.28,11.07,43.08,10.73,4.66,4.37,NA
GBR1-3-7,NA,2012-07-17,2,1,N,GP,NA,A,Bear,lower,RF,WE,191,200,R,10250,18,15,85.93,23.13,13.03,56.07,12.27,6.25,6.91,NA
GBR1-3-8,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,324,350,R,2400,0,0,45.7,9.35,8.91,28.59,7.62,3.95,2.49,NA
GBR1-4-5,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,T,361,400,R,4500,10,5,58.61,10.89,10.42,39.03,9.65,4.49,3.32,NA
GBR1-4-6,NA,2012-07-17,2,1,N,GP,NA,A,Bear,lower,RF,WE,439,200,R,11000,9,3,92.19,26.25,13.8,59.42,13.3,3.58,4.16,NA
GBR1-4-7,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,487,200,R,3800,0,0,51.28,11.38,9.99,35.25,10.04,3.88,3.12,NA
GBR1-4-8,NA,2012-07-17,2,1,N,GP,NA,A,Bear,lower,RF,WE,496,550,R,14250,45,30,95.71,20.15,13.63,62.41,13.47,5.8,4.98,NA
GBR1-7,NA,2012-07-17,2,1,O,GP,NA,L,Bear,lower,RF,WE,178,450,R,6000,5,0,61.24,14.18,11.06,41.14,10.48,5.88,4.5,NA
GBR2-5,NA,2012-07-17,2,1,O,GP,NA,A,Bear,lower,RF,T,226,400,R,7300,5,0,73.7,17.53,11.38,47.33,10.91,6.32,5.44,NA
GBR6-8,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,WE,46,300,R,1900,1,0,43.7,9.62,8.97,27.9,7.47,3.51,3.55,NA
GBR7-8,NA,2012-07-17,2,1,N,GP,NA,L,Bear,lower,RF,T,74,300,R,5400,0,0,61.43,13.52,11.39,42.16,10.81,4.63,3.84,NA
GBR1-2-7,NA,2012-07-22,3,1,O,GP,NA,A,Bear,lower,RF,WE,142,500,R,9900,5,0,83.41,21.19,12.97,53.96,11.45,5.9,4.85,NA
GBR1-3-4,NA,2012-07-22,3,1,O,GP,NA,L,Bear,lower,RF,WE,172,250,R,4500,8,0,55.98,12.99,10.22,36.22,8.89,3.49,2.73,NA
GBR1-3-5,NA,2012-07-22,3,1,O,GP,NA,L,Bear,lower,RF,WE,179,400,R,1100,5,0,39.85,10.15,7.17,24.74,6.05,2.36,3.27,NA
GBR1-3-8,NA,2012-07-22,3,1,O,GP,NA,L,Bear,lower,RF,T,227,300,R,2400,5,0,46.06,11.04,8.63,29.12,8.16,2.84,3.43,NA
GBR1-4,NA,2012-07-22,3,1,O,GP,NA,A,Bear,lower,PL,WE,153,250,R,5900,5,0,76.71,19.54,12,50.22,11.47,5.31,5.14,TAG IN PHOTO IS WRONG AND SAYS R-13
GBR1-4-6,NA,2012-07-22,3,1,O,GP,NA,A,Bear,lower,RF,T,439,180,R,10500,6,0,87.25,20.62,13.42,58.17,13.55,6.67,7.71,NA
GBR1-5-6,NA,2012-07-22,3,1,N,GP,NA,A,Bear,lower,RF,WE,46,250,R,23000,0,0,103.51,27.68,15.97,66.51,16.68,5.75,6.62,#'S 5 & 6 ARE NEAR MID BODY
GBR1-5-7,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,46,350,R,5900,0,0,65.32,15.79,11.99,42.2,10.8,4.48,5.02,NA
GBR1-5-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,88,150,R,3000,8,8,46.52,11.09,9.26,28.77,8.73,3.45,2.94,NA
GBR1-6-7,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,96,400,R,4800,1,1,58.05,14.19,11.08,37.54,10.47,4.68,4.01,NA
GBR1-6-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,115,550,R,5000,0,0,57.78,13.71,10.94,36.66,10.45,3.65,3.72,NA
GBR1-7-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,115,450,R,4300,6,0,56.68,14.66,10.75,36.15,10.08,4.77,4.82,NA
GBR2-3-4,NA,2012-07-22,3,1,N,GP,NA,A,Bear,lower,RF,WE,123,350,R,13000,0,0,92.82,24.28,13.63,58.45,13.82,6.52,7.91,NA
GBR2-3-5,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,123,350,R,6400,0,0,65.77,18.04,11.23,43.39,11.26,4.6,4.02,NOTCH MISSING OUT OF END OF TAIL
GBR2-3-6,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,129,300,R,1800,0,0,43.13,10.91,8.21,28.66,7.22,2.84,2.81,NA
GBR2-3-7,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,129,450,R,5300,0,0,63.6,14.15,10.91,41.77,10.37,3.77,4.01,NA
GBR2-3-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,T,152,450,R,2300,3,0,48.02,12.05,8.82,30.14,7.25,3.36,2.77,NA
GBR2-4-5,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,PL,WE,153,250,R,2300,0,0,45.8,14.52,8.98,27.28,7.87,2.67,2.92,NA
GBR2-4-6,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,170,250,R,400,0,0,25.4,7.7,5.41,15.4,4.11,2.11,2.36,NA
GBR2-4-7,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,PL,T,208,500,R,4200,10,10,59.57,15.16,10.66,38.16,9.23,3.43,3.57,NA
GBR2-4-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,236,200,R,2000,0,0,42.88,12.71,8.1,27.08,7.52,3.35,2.87,NA
GBR2-5-6,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,T,237,300,R,2000,5,5,44.5,11.32,8.36,28.89,6.95,3.4,3.05,NA
GBR2-5-7,NA,2012-07-22,3,1,N,GP,NA,A,Bear,lower,PL,WE,352,200,R,7500,0,0,76.08,18.56,11.39,49.2,10.53,5.99,4.46,NA
GBR2-5-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,PL,T,361,450,R,2200,0,0,42.36,11.56,8.68,26.53,6.87,3.45,3.72,NA
GBR2-6-7,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,PL,WE,372,200,R,2600,35,0,53.77,14.76,9.1,33.68,8.09,3.71,2.72,NA
GBR2-6-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,RF,WE,379,300,R,2600,0,0,47.04,10.69,8.29,29.64,7.19,3.08,2.88,NA
GBR2-7-8,NA,2012-07-22,3,1,N,GP,NA,L,Bear,lower,PL,WE,459,450,R,5100,0,0,55.37,10.71,10.94,36.51,10.38,4.39,3.79,NA
GBR3-4-5,NA,2012-07-22,3,1,N,GP,NA,A,Bear,lower,PL,WE,496,400,R,15500,13,1,96.08,23.9,15.12,62.1,13.47,5.71,6.99,RIGHT SIDE OF TAIL IS VERY DARK & SPOTTED >20%
GBR4-8,NA,2012-07-22,3,1,O,GP,NA,A,Bear,lower,RF,WE,417,350,R,8500,5,0,88.07,20.02,12.44,50.39,12.38,4.76,4.26,NA
GBR7,NA,2012-07-22,3,1,O,GP,NA,L,Bear,lower,RF,WE,112,400,R,2300,5,0,45.91,11.85,8.6,29.49,7.12,3.51,4.45,NA
GBR1-2,NA,2012-08-13,4,2,O,GP,NA,A,Bear,lower,RF,WE,130,300,R,5600,5,2,70.61,13.88,9.51,44.76,9.52,5.62,4.55,JON'S CAMERA
GBR2-5-8,NA,2012-08-13,4,2,O,GP,NA,L,Bear,lower,RF,WE,104,400,R,2100,8,6,47.54,11.6,10.26,31.31,7.25,3.17,2.82,JON'S CAMERA
GBR3-4-6,NA,2012-08-13,4,2,N,GP,NA,A,Bear,lower,RF,WE,208,400,R,7400,0,0,72.03,15.53,11.93,44.85,10.4,3.65,4.39,JON'S CAMERA
GBR3-4-7,NA,2012-08-13,4,2,N,GP,NA,A,Bear,lower,RF,WE,267,350,R,9000,0,0,80.66,22.17,12.48,51.82,11.83,5.78,3.95,JON'S CAMERA
GBR3-4-8,NA,2012-08-13,4,2,N,GP,NA,L,Bear,lower,RF,WE,404,150,R,1000,0,0,36.98,9.75,6.83,23.34,5.57,2.15,2.12,JON'S CAMERA
GBR1-8,NA,2012-08-16,5,2,O,GP,NA,A,Bear,lower,RF,WE,214,200,R,5500,5,2,69.82,18.11,10.24,46.42,10.48,4.87,4.19,NA
GBR2-5-8,NA,2012-08-16,5,2,O,GP,NA,L,Bear,lower,RF,WE,103,450,R,2000,8,3,45.43,10.85,8.54,29.62,7.67,3.72,2.45,NA
GBR3-5-6,NA,2012-08-16,5,2,N,GP,NA,L,Bear,lower,RF,WE,60,350,R,2300,0,0,47.82,13.14,8.36,30.64,7.91,3.41,2.93,NA
GBR3-5-7,NA,2012-08-16,5,2,N,GP,NA,L,Bear,lower,RF,WE,102,400,R,1600,0,0,40.01,9.98,7.27,24.84,6.96,3.31,2.45,NA
GBR3-6-7,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,152,450,R,10500,40,40,82.16,22.61,12.61,51.67,12.05,6.51,5.31,NA
GBR3-6-8,NA,2012-08-16,5,2,N,GP,NA,L,Bear,lower,RF,WE,227,200,R,2300,0,0,47.77,13.06,8.52,29.98,7.43,3.07,3.11,NA
GBR3-7-8,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,305,300,R,5300,0,0,66.8,18.11,10.57,43.89,9.51,6.11,5.92,NA
GBR4-5-6,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,B,338,400,R,6500,20,15,71.8,17.78,11.22,45.64,10.7,5,6.18,NA
GBR4-5-7,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,352,550,R,11000,0,0,84.56,21.53,12.63,53.55,11.69,6.26,6.78,NA
GBR4-5-8,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,354,250,R,9700,10,8,79.31,20.65,12.26,49.06,12.36,6.14,5.29,NA
GBR4-6-7,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,417,400,R,17750,10,3,98.93,24.92,15.33,63.92,14.94,6.88,7.16,NA
GBR4-6-8,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,415,450,R,6300,10,5,74.38,15.84,10.2,48.65,10.38,4.25,4.22,NA
GBR4-7-8,NA,2012-08-16,5,2,N,GP,NA,L,Bear,lower,RF,WE,488,350,R,1900,0,0,42.64,9.84,7.92,28.14,6.59,3.15,2.7,NA
GBR5-6-7,NA,2012-08-16,5,2,N,GP,NA,A,Bear,lower,RF,WE,491,200,R,13500,20,15,94.4,21.02,14.04,60.86,12.74,6.74,5.98,NA
GBR5-6-8,NA,2012-08-16,5,2,N,GP,NA,L,Bear,lower,RF,WE,495,350,R,4000,30,25,56.59,14.44,10.11,35.5,8.95,4.33,4.88,NA
