"Stream","Reach","Date","SurNum","Weather","StartTime","EndTime","Worker1","Worker2","Worker3","Comments"
"Cascade","Upper","2012-06-20","1","Sunny, Partly cloudy","10:15","3:00","BA","MC","NA",""
"Canyon","Upper","2012-06-21","NA","Sunny","9:15","1:00","MC","BA","NA","not included in CMR"
"ZigZag","Upper","2012-06-22","NA","Sunny, Partly cloudy","9:00","3:00","BA","MC","NA",""
"Bear","Upper","2012-06-29","1","Sunny, Partly cloudy","9:00","6:00","MC","BA","NA","worked 3 hours on 6/30 to finish survey"
"Canyon","Upper","2012-06-30","1","Sunny, Partly cloudy","12:30","5:00","BA","MC","NA",""
"Cascade","Upper","2012-07-01","2","Sunny","10:30","2:30","MC","BA","NA",""
"ZigZag","Upper","2012-07-02","1","Sunny","9:30","6:00","BA","MC","NA",""
"Paradise","Upper","2012-07-03","1","Sunny","8:45","4:00","MC","BA","NA",""
"Bear","Upper","2012-07-04","2","Partly cloudy","10:00","3:30","BA","MC","NA","worked 3 hours on 7/5 to finish survey"
"Canyon","Upper","2012-07-05","2","Overcast","12:00","4:00","MC","BA","NA",""
"Cascade","Upper","2012-07-06","3","Sunny","9:00","1:00","JA","MC","NA",""
"ZigZag","Upper","2012-07-07","2","Overcast","9:00","3:00","MC","Jaime","NA",""
"Paradise","Upper","2012-07-08","2","Sunny","8:30","2:00","Ja","MC","NA",""
"Bear","Upper","2012-07-09","3","Sunny","9:00","2:30","MC","Jaime","NA",""
"Paradise","Lower","2012-07-09","1","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-07-10","1","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2012-07-10","3","Sunny","8:30","11:30","Jaime","MC","NA",""
"Cascade","Lower","2012-07-11","1","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2012-07-11","4","Sunny","8:45","11:30","MC","Jaime","NA",""
"Bear","Lower","2012-07-12","1","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2012-07-12","3","Sunny","9:30","2:15","MC","BA","NA",""
"Paradise","Upper","2012-07-13","3","Sunny","9:00","4:30","BA","MC","NA",""
"ZigZag","Lower","2012-07-13","1","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-07-14","2","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-07-15","2","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2012-07-16","2","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2012-07-17","2","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Upper","2012-07-18","4","Overcast","9:00","3:30","MC","BA","NA",""
"ZigZag","Lower","2012-07-18","2","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2012-07-19","4","Sunny","9:00","12:00","BA","MC","NA",""
"Paradise","Lower","2012-07-19","3","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-07-20","3","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2012-07-20","5","Sunny, Partly cloudy","9:15","11:45","MC","BA","NA","no flowing water 270m-500m"
"Cascade","Lower","2012-07-21","3","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2012-07-21","4","Sunny","9:00","1:30","BA","MC","NA","EB LARVAE"
"Bear","Lower","2012-07-22","3","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2012-07-22","4","Sunny, Partly cloudy","8:45","2:30","MC","BA","NA","220m-240m-left fork (facing upstream) dry; 330m-500m no flowing water"
