"","ID","ch","sex","stage","tail","stream","trout"
"1","GBR1","100000100000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"2","GBR1-2","100100000000000000000000000000000000000000000000000000100000000000000000","F","A","Damaged","Bear","Absent"
"3","GBR1-3","100000000100000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"4","GBR1-4","101000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"5","GBR1-5","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"6","GBR1-6","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"7","GBR1-7","110000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"8","GBR1-8","100010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"9","GBR2","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"10","GBR2-3","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"11","GBR2-4","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"12","GBR2-5","110000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"13","GBR2-6","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"14","GBR2-7","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"15","GBR2-8","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"16","GBR3","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"17","GBR3-4","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"18","GBR3-5","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"19","GBR3-6","100001000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"20","GBR3-7","100000010000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"21","GBR3-8","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"22","GBR4","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"23","GBR4-5","100000000000000000000001000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"24","GBR4-6","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"25","GBR4-7","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"26","GBR4-8","101000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"27","GBR5-6","100000000000000000000000011000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"28","GBR5-7","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"29","GBR5-8","100000000000100000000000010000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"30","GBR6","100000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"31","GBR6-7","100000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"32","GBR7","101000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"33","GBR8","100001000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"34","GBR1-2-3","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"35","GBR1-2-4","010000010000000010000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"36","GBR1-2-5","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"37","GBR1-2-6","010000000010100001000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"38","GBR1-2-7","011000100000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"39","GBR1-2-8","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"40","GBR1-3-4","011000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"41","GBR1-3-5","011000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"42","GBR1-3-6","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"43","GBR1-3-7","010000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"44","GBR1-3-8","011000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"45","GBR1-4-5","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"46","GBR1-4-6","011000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"47","GBR1-4-7","010000000000000000001001110000000000000000000000000000000000000000000000","F","A","Full","Bear","Present"
"48","GBR1-4-8","010000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"49","GBR6-8","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"50","GBR7-8","010000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"51","GBR1-5-6","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"52","GBR1-5-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"53","GBR1-5-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"54","GBR1-6-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"55","GBR1-6-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"56","GBR1-7-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"57","GBR2-3-4","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"58","GBR2-3-5","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"59","GBR2-3-6","001000000000000000000000000000000000001100000000000000000000000000000000","F","A","Full","Bear","Present"
"60","GBR2-3-7","001000000000000001000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"61","GBR2-3-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"62","GBR2-4-5","001000000000000000000000000000000010001100000000000000000010000000000000","F","A","Full","Bear","Present"
"63","GBR2-4-6","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"64","GBR2-4-7","001000000010000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"65","GBR2-4-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"66","GBR2-5-6","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"67","GBR2-5-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"68","GBR2-5-8","001110000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"69","GBR2-6-7","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"70","GBR2-6-8","001000000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"71","GBR2-7-8","001000100000000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"72","GBR3-4-5","001000000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"73","GBR3-4-6","000100000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"74","GBR3-4-7","000100000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"75","GBR3-4-8","000100000000000000000000000000000010000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"76","GBR3-5-6","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"77","GBR3-5-7","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"78","GBR3-6-7","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"79","GBR3-6-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"80","GBR3-7-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"81","GBR4-5-6","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"82","GBR4-5-7","000011000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"83","GBR4-5-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"84","GBR4-6-7","000011001000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"85","GBR4-6-8","000010000000000000000000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
